# r_half [kpc], M_enc(r_half) [M_sun], M_200 [M_sun], concentration
0.06145,5997112.46964,165721247.07155,153.48992
0.03419,1042826.94961,139132583.82112,85.76113
0.03397,4889836.61687,395913542.00424,186.24059
0.04598,3925923.74537,201283067.35349,140.87968
0.09195,9062768.56563,143792613.96517,149.58091
0.03619,990566.14228,111910250.95617,82.55563
0.03480,3647644.21345,342373308.96576,153.71345
0.05556,4122461.42907,175503259.15883,123.18004
0.10216,6898099.48810,115973059.62122,112.79610
0.10774,14454989.20741,177293610.75439,176.88114
0.03319,4054638.90312,408824947.58807,165.47333
0.14292,6949820.22703,2182250508.16462,25.25319
0.08002,3781436.00467,102877932.04622,92.50642
0.47586,64049221.92160,16320058172.00856,14.56407
0.03067,1404460.16440,115135370.96423,128.19126
0.03557,1395099.82544,127004312.40551,103.49917
0.05017,4847372.43975,349564423.64495,121.87940
0.02607,1880395.25119,240285953.24196,151.03185
0.10724,18249574.40099,237055822.54513,188.49326
0.06953,9198641.10798,271967086.71027,152.12275
0.03009,2025293.85227,142158579.83081,159.75955
0.06308,6043707.59199,148057014.80080,158.27667
0.03111,1481183.80095,101001520.20962,137.16288
0.13140,14017824.79084,153022313.47441,147.53529
0.07860,7621224.89903,150556906.45478,148.85676
0.09505,16539028.13759,486183692.35497,132.28509
0.07073,3050223.59005,104886930.56478,88.73868
0.10713,25279550.07708,437785211.61296,179.50744
0.02738,198761.68997,4051503284.84992,17.20791
0.04012,3041380.60029,171097202.03519,144.56657
0.03584,2827980.05045,167599150.78513,157.54636
0.04641,3223909.07887,114805930.29050,149.44508
0.04308,2835584.38181,131060033.47775,139.28138
0.02466,1440583.90678,217949830.11344,138.15359
0.05090,5905834.13799,205940123.08419,172.07772
0.06075,2941519.95041,101325400.51101,105.34429
0.04067,4772973.00332,469936981.44628,140.01355
0.05886,5350309.06380,790400973.74545,83.39163
0.04065,3220297.74357,242419008.28466,131.15224
0.03081,2915152.75701,186245723.60319,185.45099
0.29269,24454213.40037,4223490879.70296,20.29455
0.02425,982741.65520,145397253.06519,122.13207
0.04675,2325693.55257,137188188.02279,106.27822
0.08355,5774394.96976,118093749.82801,120.68604
0.08327,14091356.63664,341641300.61869,159.99176
0.10289,18311748.49355,301486831.89704,170.28528
0.06335,8136421.84453,196091487.34148,179.15839
0.13193,25521315.37247,313309571.13942,173.87192
0.07185,6049526.55456,152514755.58074,133.06766
0.05759,1307030.81897,1674683313.80868,27.76116
0.04795,4011670.21973,161085934.29228,149.03126
0.02830,1183210.43278,121901765.36458,122.25926
0.05463,6927451.74635,316851696.02895,150.33757
0.03940,5615295.60014,202314502.82021,225.68152
0.09810,10102363.97858,156163100.86623,146.66671
0.08859,1703340.54007,17232367251.50962,10.96987
0.04431,3234071.23369,129753147.46782,150.37831
0.04094,3162023.45916,194421529.94607,138.69189
0.07240,13598432.98846,312648143.45317,192.20376
0.01474,610419.09195,140745371.28923,160.02582
0.07763,11694381.04144,632052766.64357,113.99242
0.11890,4867915.68422,1773107591.65913,26.38959
